2023;Восход;Зенит;Долгота дня;;Начало астрономических сумерек;Начало навигационных сумерек;Начало гражданских сумерек;Конец гражданских сумерек;Конец навигационных сумерек;Конец астрономических сумерек
01.01;10:02;13:03;16:04;06:02:35;+1:40;07:18;08:09;09:05;17:01;17:57;18:48
02.01;10:01;13:03;16:05;06:04:24;+1:49;07:18;08:09;09:05;17:02;17:58;18:49
03.01;10:01;13:04;16:07;06:06:25;+2:01;07:17;08:08;09:04;17:03;17:59;18:50
04.01;10:00;13:04;16:08;06:08:35;+2:10;07:17;08:08;09:04;17:04;18:00;18:51
05.01;09:59;13:05;16:10;06:10:53;+2:18;07:17;08:08;09:03;17:06;18:01;18:52
06.01;09:58;13:05;16:12;06:13:21;+2:28;07:17;08:07;09:03;17:07;18:03;18:54
07.01;09:58;13:05;16:13;06:15:57;+2:36;07:16;08:07;09:02;17:09;18:04;18:55
08.01;09:57;13:06;16:15;06:18:43;+2:46;07:16;08:06;09:02;17:10;18:05;18:56
09.01;09:56;13:06;16:17;06:21:36;+2:53;07:15;08:06;09:01;17:12;18:07;18:57
10.01;09:54;13:07;16:19;06:24:38;+3:02;07:15;08:05;09:00;17:13;18:08;18:59
11.01;09:53;13:07;16:21;06:27:48;+3:10;07:14;08:04;08:59;17:15;18:10;19:00
12.01;09:52;13:08;16:23;06:31:05;+3:17;07:13;08:04;08:58;17:17;18:11;19:02
13.01;09:51;13:08;16:25;06:34:28;+3:23;07:13;08:03;08:57;17:19;18:13;19:03
14.01;09:49;13:08;16:27;06:37:59;+3:31;07:12;08:02;08:56;17:20;18:15;19:05
15.01;09:48;13:09;16:29;06:41:37;+3:38;07:11;08:01;08:55;17:22;18:16;19:06
16.01;09:46;13:09;16:32;06:45:22;+3:45;07:10;08:00;08:54;17:24;18:18;19:08
17.01;09:45;13:09;16:34;06:49:12;+3:50;07:09;07:59;08:53;17:26;18:20;19:10
18.01;09:43;13:10;16:36;06:53:08;+3:56;07:08;07:58;08:51;17:28;18:22;19:11
19.01;09:41;13:10;16:39;06:57:09;+4:01;07:07;07:57;08:50;17:30;18:23;19:13
20.01;09:40;13:10;16:41;07:01:17;+4:08;07:06;07:55;08:48;17:32;18:25;19:15
21.01;09:38;13:11;16:43;07:05:29;+4:12;07:05;07:54;08:47;17:34;18:27;19:17
22.01;09:36;13:11;16:46;07:09:46;+4:17;07:03;07:53;08:45;17:36;18:29;19:18
23.01;09:34;13:11;16:48;07:14:07;+4:21;07:02;07:51;08:44;17:39;18:31;19:20
24.01;09:32;13:11;16:51;07:18:33;+4:26;07:01;07:50;08:42;17:41;18:33;19:22
25.01;09:30;13:12;16:53;07:23:03;+4:30;06:59;07:49;08:41;17:43;18:35;19:24
26.01;09:28;13:12;16:56;07:27:37;+4:34;06:58;07:47;08:39;17:45;18:37;19:26
27.01;09:26;13:12;16:58;07:32:15;+4:38;06:57;07:45;08:37;17:47;18:39;19:28
28.01;09:24;13:12;17:01;07:36:55;+4:40;06:55;07:44;08:35;17:50;18:41;19:30
29.01;09:22;13:13;17:03;07:41:40;+4:45;06:53;07:42;08:33;17:52;18:43;19:32
30.01;09:20;13:13;17:06;07:46:28;+4:48;06:52;07:40;08:32;17:54;18:45;19:34
31.01;09:17;13:13;17:09;07:51:18;+4:50;06:50;07:39;08:30;17:56;18:47;19:36
01.02;09:15;13:13;17:11;07:56:12;+4:54;06:48;07:37;08:28;17:59;18:49;19:38
02.02;09:13;13:13;17:14;08:01:08;+4:56;06:47;07:35;08:26;18:01;18:52;19:40
03.02;09:10;13:13;17:17;08:06:06;+4:58;06:45;07:33;08:24;18:03;18:54;19:42
04.02;09:08;13:14;17:19;08:11:07;+5:01;06:43;07:31;08:21;18:06;18:56;19:44
05.02;09:06;13:14;17:22;08:16:10;+5:03;06:41;07:29;08:19;18:08;18:58;19:46
06.02;09:03;13:14;17:24;08:21:14;+5:04;06:39;07:27;08:17;18:10;19:00;19:49
07.02;09:01;13:14;17:27;08:26:22;+5:08;06:37;07:25;08:15;18:13;19:03;19:51
08.02;08:58;13:14;17:30;08:31:30;+5:08;06:35;07:23;08:13;18:15;19:05;19:53
09.02;08:56;13:14;17:32;08:36:40;+5:10;06:33;07:21;08:10;18:18;19:07;19:55
10.02;08:53;13:14;17:35;08:41:52;+5:12;06:31;07:19;08:08;18:20;19:09;19:57
11.02;08:51;13:14;17:38;08:47:05;+5:13;06:29;07:17;08:06;18:22;19:12;20:00
12.02;08:48;13:14;17:40;08:52:19;+5:14;06:26;07:14;08:03;18:25;19:14;20:02
13.02;08:45;13:14;17:43;08:57:35;+5:16;06:24;07:12;08:01;18:27;19:16;20:04
14.02;08:43;13:14;17:46;09:02:52;+5:17;06:22;07:10;07:58;18:30;19:18;20:06
15.02;08:40;13:14;17:48;09:08:09;+5:17;06:19;07:07;07:56;18:32;19:21;20:09
16.02;08:37;13:14;17:51;09:13:28;+5:19;06:17;07:05;07:54;18:35;19:23;20:11
17.02;08:35;13:14;17:53;09:18:48;+5:20;06:15;07:02;07:51;18:37;19:25;20:13
18.02;08:32;13:14;17:56;09:24:09;+5:21;06:12;07:00;07:48;18:39;19:28;20:16
19.02;08:29;13:14;17:59;09:29:30;+5:21;06:10;06:58;07:46;18:42;19:30;20:18
20.02;08:26;13:14;18:01;09:34:52;+5:22;06:07;06:55;07:43;18:44;19:32;20:20
21.02;08:24;13:14;18:04;09:40:14;+5:22;06:04;06:52;07:41;18:47;19:35;20:23
22.02;08:21;13:14;18:06;09:45:37;+5:23;06:02;06:50;07:38;18:49;19:37;20:25
23.02;08:18;13:13;18:09;09:51:01;+5:24;05:59;06:47;07:35;18:52;19:40;20:28
24.02;08:15;13:13;18:11;09:56:25;+5:24;05:56;06:45;07:33;18:54;19:42;20:30
25.02;08:12;13:13;18:14;10:01:50;+5:25;05:54;06:42;07:30;18:56;19:44;20:33
26.02;08:09;13:13;18:17;10:07:14;+5:24;05:51;06:39;07:27;18:59;19:47;20:35
27.02;08:06;13:13;18:19;10:12:40;+5:26;05:48;06:36;07:24;19:01;19:49;20:38
28.02;08:04;13:13;18:22;10:18:05;+5:25;05:45;06:34;07:22;19:04;19:52;20:40
29.02;08:01;13:12;18:24;10:23:32;+5:27;05:42;06:31;07:19;19:06;19:54;20:43
01.03;07:58;13:12;18:27;10:28:57;+5:25;05:39;06:28;07:16;19:09;19:56;20:45
